TckrSymb,SctySrs,TradDt,OpnPric,HghPric,LwPric,ClsPric,TtlTradgVol
ASIANPAINT,EQ,2025-12-10,2810.0,2824.0,2796.7,2804.5,845073
HDFCBANK,EQ,2025-12-10,997.5,998.5,985.3,989.8,15322830
HINDUNILVR,EQ,2025-12-10,2306.5,2316.9,2295.0,2301.7,2857290
ICICIBANK,EQ,2025-12-10,1361.0,1361.0,1361.0,1361.0,1094092
ITC,EQ,2025-12-10,401.1,404.4,401.0,403.15,6969146
LT,EQ,2025-12-10,4000.0,4030.0,3970.0,3991.3,957277
RELIANCE,EQ,2025-12-10,1534.0,1547.5,1531.4,1536.9,7991629
SBIN,EQ,2025-12-10,960.1,963.95,955.25,959.75,6989178
ASIANPAINT,EQ,2025-12-11,2800.0,2811.6,2763.2,2779.4,777422
HDFCBANK,EQ,2025-12-11,990.0,1002.7,988.5,1000.3,11844809
HINDUNILVR,EQ,2025-12-11,2296.3,2313.0,2292.0,2305.6,1108032
ICICIBANK,EQ,2025-12-11,1363.7,1366.6,1352.8,1360.0,6734750
ITC,EQ,2025-12-11,403.15,404.0,401.1,402.9,6980147
LT,EQ,2025-12-11,3993.2,4015.0,3984.6,4003.9,841371
RELIANCE,EQ,2025-12-11,1536.9,1550.0,1524.0,1545.0,4706197
SBIN,EQ,2025-12-11,962.1,966.5,958.45,963.25,5979035
TCS,EQ,2025-12-11,3205.0,3208.4,3153.1,3191.9,1914362
ASIANPAINT,EQ,2025-12-12,2795.0,2797.0,2746.0,2764.8,977696
HDFCBANK,EQ,2025-12-12,1003.0,1004.7,998.2,1001.5,11988618
HINDUNILVR,EQ,2025-12-12,2306.9,2309.0,2244.7,2260.6,3203114
ICICIBANK,EQ,2025-12-12,1368.0,1370.7,1363.3,1366.0,3890885
ITC,EQ,2025-12-12,402.9,404.0,399.85,400.1,12407516
LT,EQ,2025-12-12,4061.0,4114.0,4048.6,4074.1,2207898
RELIANCE,EQ,2025-12-12,1550.8,1559.8,1546.1,1556.5,5106655
SBIN,EQ,2025-12-12,966.0,967.0,958.0,963.15,5681930
TCS,EQ,2025-12-12,3197.7,3223.0,3185.7,3220.5,1146554
ASIANPAINT,EQ,2025-12-15,2773.1,2802.0,2758.7,2780.2,1029674
HDFCBANK,EQ,2025-12-15,992.0,1001.8,992.0,996.1,9790060
HINDUNILVR,EQ,2025-12-15,2260.6,2299.0,2252.0,2293.5,1274115
ICICIBANK,EQ,2025-12-15,1356.1,1370.0,1356.1,1365.2,5342530
ITC,EQ,2025-12-15,400.1,403.35,399.5,402.3,7756564
LT,EQ,2025-12-15,4072.8,4096.0,4063.8,4092.3,1064975
RELIANCE,EQ,2025-12-15,1551.2,1558.6,1546.5,1556.2,5774543
SBIN,EQ,2025-12-15,957.25,968.85,957.25,967.25,4416952
TCS,EQ,2025-12-15,3211.1,3238.2,3197.3,3230.2,1562190
ASIANPAINT,EQ,2025-12-16,2793.0,2808.0,2776.1,2790.9,916244
HDFCBANK,EQ,2025-12-16,990.1,998.7,990.1,994.3,20049088
HINDUNILVR,EQ,2025-12-16,2293.4,2302.7,2276.0,2281.1,1256042
ICICIBANK,EQ,2025-12-16,1364.0,1368.7,1355.5,1366.0,12359741
ITC,EQ,2025-12-16,401.4,405.75,401.05,401.7,12347384
